GEOID,NAMELSAD,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,county_id,STNAME
17067,Hancock County,2882594822.4108353,2867917580.672506,2871854633.6256433,2824549973.560632,2817571231.565147,2814528715.1674943,2831656624.68623,2806609435.6615806,2789242089.5176525,2770467742.942483,17067,Illinois
46067,Hutchinson County,1107830821.435666,1093941718.360632,1106554005.3616252,1095152842.4234765,1110944779.9638827,1122814019.1656885,1139662075.752596,1148556228.0140858,1143044800.6515574,1140698007.3296614,46067,South Dakota
41013,Crook County,3153324093.6162524,3115326229.2709713,3143040439.4882164,3152791194.0644693,3222278035.83711,3314982080.803612,3469537636.377426,3604769274.6148987,3727490059.611738,3818076281.83693,41013,Oregon
50011,Franklin County,7220604840.108352,7280063639.174356,7369451395.872867,7373166014.352325,7497993121.851738,7569067451.615349,7615841983.768849,7653238526.2786455,7706556363.330745,7729085579.220948,50011,Vermont
26103,Marquette County,10128264391.4763,10182398042.226635,10345021635.790157,10322919831.650385,10420738918.052912,10402446216.368399,10348573389.377876,10392019222.933813,10385499166.719276,10435251185.143476,26103,Michigan
09007,Middlesex County,25006747897.354397,25084127377.792145,25262986371.339413,25182270415.16425,25338151766.246136,25296766543.81219,25398894455.274044,25465784311.480633,25481481889.148533,25413581335.70167,09007,Connecticut
37057,Davidson County,24587593152.866817,24593385756.929665,24867341837.92686,24872459444.164333,25122420897.555576,25259993496.260044,25551015311.02483,25815555550.87314,26027189562.933456,26222912125.979595,37057,North Carolina
17025,Clay County,2087620135.9097066,2071802136.677201,2091699742.181851,2064492576.663115,2067356756.6248307,2070569790.95079,2070896803.1349885,2073934024.4586906,2075504013.884966,2062674877.0586007,17025,Illinois
29103,Knox County,622843415.3498871,622672773.3182844,623818867.2541761,618403413.1069977,613979585.660316,603665112.5471783,611749821.7462754,620461045.7498871,620335701.421219,619396984.0924605,29103,Missouri
29117,Livingston County,2284212166.645598,2282378747.2902937,2287386687.582122,2265549843.9786906,2307382334.690384,2308049514.0081263,2352895894.623928,2368848380.4612193,2375111294.647043,2382308127.500858,29117,Missouri
42117,Tioga County,6337752609.914221,6376471100.729931,6474751768.656975,6429415386.86194,6442557139.890203,6415042694.611287,6416140388.261851,6356365539.469436,6366068017.863657,6350579181.939142,42117,Pennsylvania
